Latitude;Longitude;State;City;Street;HouseNumber;PostCode
44.8120640;-68.7618579;ME;Bangor;Maple Street;180;04401
44.8132929;-68.7662350;ME;Bangor;Elm Street;196;04401
44.7931319;-68.7842940;ME;Bangor;Lincoln Street;198;04401
44.8103796;-68.7724055;ME;Bangor;Center Street;200;04401
44.8134190;-68.7662597;ME;Bangor;Elm Street;200;04401
44.8127485;-68.7620258;ME;Bangor;Maple Street;200;04401
44.8003452;-68.7762381;ME;Bangor;Union Street;202;04401
44.8003769;-68.7763644;ME;Bangor;Union Street;204;04401
44.8135496;-68.7663098;ME;Bangor;Elm Street;206;04401
44.8137117;-68.7663471;ME;Bangor;Elm Street;208;04401
44.8057903;-68.7622567;ME;Bangor;State Street;210;04401
44.8138648;-68.7663844;ME;Bangor;Elm Street;214;04401
44.8108300;-68.7725554;ME;Bangor;Center Street;216;04401
44.8127232;-68.7649979;ME;Bangor;Forest Avenue;220;04401
44.8003014;-68.7768705;ME;Bangor;Union Street;224;04401
44.8003602;-68.7770094;ME;Bangor;Union Street;224;04401
